rms,mileage,speed,load
7.35,359250.56,85.28,110
8.05,359264.78,85.28,110
6.69,359278.99,85.28,110
9.02,359293.2,85.28,110
7.91,359307.41,85.28,110
7.65,359321.63,85.28,110
7.42,359335.84,85.28,110
7.8,359350.05,85.28,110
7.99,359364.27,85.28,110
7.83,359378.47,85.28,110
8.45,359392.69,85.28,110
8.14,359406.91,85.28,110
7.45,359421.11,85.28,110
8.24,359435.33,85.28,110
8.59,359449.54,85.28,110
7.68,359463.75,85.28,110
8.28,359477.97,85.28,110
8.55,359492.18,85.28,110
8.1,359506.39,85.28,110
8.08,359520.6,85.28,110
7.95,359534.82,85.28,110
7.6,359549.03,85.28,110
8.48,359563.24,85.28,110
7.68,359577.46,85.28,110
7.57,359591.66,85.28,110
8.19,359605.88,85.28,110
8.32,359620.1,85.28,110
7.62,359634.3,85.28,110
7.99,359648.52,85.28,110
7.94,359662.73,85.28,110
7.56,359676.94,85.28,110
8.23,359691.16,85.28,110
7.83,359705.37,85.28,110
7.94,359719.58,85.28,110
7.72,359733.8,85.28,110
7.79,359748.01,85.28,110
7.72,359762.22,85.28,110
8.13,359776.43,85.28,110
7.89,359790.65,85.28,110
8.36,359804.86,85.28,110
7.34,359819.07,85.28,110
8.22,359833.29,85.28,110
7.51,359847.49,85.28,110
7.36,359861.71,85.28,110
7.52,359875.93,85.28,110
7.59,359890.13,85.28,110
7.56,359904.35,85.28,110
7.11,359918.56,85.28,110
8.17,359932.77,85.28,110
7.85,359946.99,85.28,110
8.02,359961.2,85.28,110
7.7,359975.41,85.28,110
8.59,359989.62,85.28,110
8.5,360003.84,85.28,110
8.7,360018.05,85.28,110
7.43,360032.26,85.28,110
7.67,360046.48,85.28,110
7.89,360060.68,85.28,110
7.45,360074.9,85.28,110
7.67,360089.12,85.28,110
7.39,360103.32,85.28,110
8.28,360117.54,85.28,110
8.45,360131.75,85.28,110
7.87,360145.96,85.28,110
7.5,360160.18,85.28,110
7.9,360174.39,85.28,110
7.52,360188.6,85.28,110
7.2,360202.81,85.28,110
8.14,360217.03,85.28,110
7.69,360231.24,85.28,110
7.82,360245.45,85.28,110
7.73,360259.67,85.28,110
8.05,360273.88,85.28,110
8.02,360288.09,85.28,110
7.9,360302.31,85.28,110
7.92,360316.51,85.28,110
7.52,360330.73,85.28,110
8.33,360344.94,85.28,110
8.17,360359.15,85.28,110
7.89,360373.37,85.28,110
7.65,360387.58,85.28,110
8.05,360401.79,85.28,110
8.74,360416.01,85.28,110
